ekis_id;0;1;2;3;4;5;6;7;8;9
3794;13597;13545;13792;13142;13914;13922;12970;13584;13945;13172
13785;13830;12910;13426;13765;566;12830;12821;13859;13246;12224
12827;12940;13560;12961;13828;12686;12763;12678;12746;12731;12681
7520;13013;3798;13552;13529;3734;13434;13440;13474;3799;137
13954;13943;13755;13644;13306;13924;12462;13956;13612;13920;12664
13793;13882;13906;13246;13381;13932;12985;13731;13684;13655;13940
13768;13425;13271;13849;13317;13243;13379;13315;13310;13260;13241
7524;13523;13640;13554;13491;13555;12763;13182;12773;13580;12827
3810;12774;13092;13174;13470;13545;13645;13557;13009;13599;13939
13563;13750;13192;12654;13288;13697;12652;13752;13719;12915;13409
3870;13570;3890;12570;7764;13552;12264;137;12584;13169;13950
13655;13017;13731;13936;13906;12830;13118;13712;13246;13859;13861
13582;13667;13917;13378;12891;12437;13836;13215;13426;9431;9310
12862;13229;13956;13941;13596;13073;13955;13174;3877;13926;13518
12828;13439;13393;13758;12779;12943;12926;13260;13057;13367;10348
13897;13874;13783;12682;12730;12684;13794;12676;12677;12716;13725
13439;13260;12943;13171;13057;13393;12828;13425;13758;12809;13767
13869;13738;13711;13310;13859;13802;13816;13380;13949;13178;13737
13182;13434;13640;3856;13370;3803;3813;13637;12845;13552;3798
12912;13849;13120;12778;10348;11500;13315;12844;12779;13439;1306
13688;13765;13836;13949;10313;12821;13661;13104;13630;13382;13806
13734;13881;13381;13671;13906;13896;13932;12830;13909;13833;13940
12997;13479;13636;13013;7530;11948;7476;3815;12519;3798;12950
12664;11748;12970;12462;13884;13924;13957;13955;13306;13553;13956
12911;11520;13838;12826;13282;13752;13308;13753;12756;12654;13719
13073;13518;13557;13923;13172;3877;13596;13926;13174;13955;13614
13153;13060;13439;12809;566;13361;10348;12919;12891;13297;13314
13456;13600;13325;12773;13595;13642;13584;13645;13076;13612;13552
13699;13906;13729;13619;13825;13872;13744;13381;13684;13861;13246
13803;13731;13907;13906;13121;12830;13381;13179;13940;13872;13655
13839;12778;12474;10348;9311;13260;13310;13439;12891;13493;12855
13516;13636;13641;13623;7530;13649;12793;13440;13013;3815;12950
12746;12731;12678;13828;12940;13560;12686;12961;12681;13703;12717
12729;13697;12654;13288;12826;13750;12708;13719;13752;12915;13563
9431;13836;13673;12993;13667;9310;13473;13765;13265;9615;12434
13141;13190;13649;3734;3799;13104;3798;13891;13852;3856;3841
12730;12682;12676;13874;13760;12677;12684;13794;12704;12698;12713
13896;13906;12830;12910;13017;13361;13179;13246;13858;13381;13940
13658;13836;13473;12830;13378;13324;12821;12434;12993;13949;13426
13664;13439;13751;12933;13171;11948;13917;13765;13949;13189;12830
12462;11748;12970;12462;13884;13924;13957;13955;13306;13553;13956
13901;12910;13830;13940;13906;13381;13246;13785;12788;13426;12946
13842;13918;9291;13273;13179;12788;13775;10319;13793;13861;13799
